Open,High,Low,Close,Adj_close,Volume,Date,Stock_Name
88.529999,90.410004,87.650002,90.410004,85.350708,2448300.0,2018-11-28T00:00:00,COF
89.580002,89.93,88.440002,88.870003,83.896873,2118400.0,2018-11-29T00:00:00,COF
88.510002,89.870003,88.410004,89.68,84.661552,2488400.0,2018-11-30T00:00:00,COF
90.669998,91.599998,89.120003,90.470001,85.407341,2360400.0,2018-12-03T00:00:00,COF
90.110001,90.190002,84.309998,84.889999,80.13958,3617600.0,2018-12-04T00:00:00,COF
83.18,84.68,81.849998,84.610001,79.875252,3904400.0,2018-12-06T00:00:00,COF
84.540001,85.639999,81.889999,82.669998,78.043823,2660900.0,2018-12-07T00:00:00,COF
83.110001,83.260002,80.32,82.449997,77.836128,3234600.0,2018-12-10T00:00:00,COF
83.620003,83.849998,80.889999,81.360001,76.807129,2243800.0,2018-12-11T00:00:00,COF
82.559998,83.32,81.720001,82.040001,77.449081,2151300.0,2018-12-12T00:00:00,COF
82.089996,82.389999,80.010002,80.389999,75.891411,2261500.0,2018-12-13T00:00:00,COF
79.57,81.230003,78.529999,78.730003,74.324303,3657600.0,2018-12-14T00:00:00,COF
78.309998,78.849998,76.459999,76.910004,72.606155,4669300.0,2018-12-17T00:00:00,COF
77.790001,78.139999,75.290001,76.209999,71.945328,3592700.0,2018-12-18T00:00:00,COF
76.019997,77.449997,74.080002,74.669998,70.491486,3585000.0,2018-12-19T00:00:00,COF
74.279999,75.349998,73.760002,74.489998,70.321556,4242800.0,2018-12-20T00:00:00,COF
74.169998,75.959999,72.0,72.389999,68.339073,4942500.0,2018-12-21T00:00:00,COF
71.279999,72.889999,70.75,70.779999,66.819176,1749800.0,2018-12-24T00:00:00,COF
71.050003,74.410004,69.900002,74.410004,70.246056,3156200.0,2018-12-26T00:00:00,COF
73.110001,74.989998,72.080002,74.989998,70.793587,3261300.0,2018-12-27T00:00:00,COF
75.440002,75.989998,74.230003,74.660004,70.482071,2481000.0,2018-12-28T00:00:00,COF
74.989998,75.699997,74.379997,75.589996,71.360008,2542900.0,2018-12-31T00:00:00,COF
74.489998,77.360001,74.389999,77.260002,72.936569,3290800.0,2019-01-02T00:00:00,COF
76.599998,77.480003,75.980003,76.160004,71.898125,3599200.0,2019-01-03T00:00:00,COF
77.68,79.610001,77.660004,79.540001,75.088966,2851300.0,2019-01-04T00:00:00,COF
79.190002,80.5,78.650002,79.980003,75.504356,2665400.0,2019-01-07T00:00:00,COF
80.669998,81.160004,78.900002,80.019997,75.542122,3117700.0,2019-01-08T00:00:00,COF
80.699997,80.93,79.790001,80.57,76.061348,1903900.0,2019-01-09T00:00:00,COF
